Species	Abundance	Site	Type
Antipathes atlantica	0	LW2	Video
Antipathes atlantica	336	BF2	Video
Antipathes atlantica	641	BF3	Video
Antipathes atlantica	316	SR2	Video
Antipathes atlantica	166	SR3	Video
Antipathes atlantica	11	BF5	Video
Antipathes atlantica	1590	PE1	Video
Antipathes furcata	0	LW2	Video
Antipathes furcata	40	BF2	Video
Antipathes furcata	79	BF3	Video
Antipathes furcata	145	SR2	Video
Antipathes furcata	368	SR3	Video
Antipathes furcata	195	BF5	Video
Antipathes furcata	186	PE1	Video
Ellisella sp.	20	LW2	Video
Ellisella sp.	15	BF2	Video
Ellisella sp.	412	BF3	Video
Ellisella sp.	434	SR2	Video
Ellisella sp.	1134	SR3	Video
Ellisella sp.	90	BF5	Video
Ellisella sp.	157	PE1	Video
Muricea pendula	6	LW2	Video
Muricea pendula	24	BF2	Video
Muricea pendula	28	BF3	Video
Muricea pendula	13	SR2	Video
Muricea pendula	45	SR3	Video
Muricea pendula	68	BF5	Video
Muricea pendula	16	PE1	Video
Scleracis guadalupensis	4	LW2	Video
Scleracis guadalupensis	1	BF2	Video
Scleracis guadalupensis	106	BF3	Video
Scleracis guadalupensis	97	SR2	Video
Scleracis guadalupensis	143	SR3	Video
Scleracis guadalupensis	12	BF5	Video
Scleracis guadalupensis	182	PE1	Video
Swiftia exserta	0	LW2	Video
Swiftia exserta	26	BF2	Video
Swiftia exserta	36	BF3	Video
Swiftia exserta	327	SR2	Video
Swiftia exserta	712	SR3	Video
Swiftia exserta	122	BF5	Video
Swiftia exserta	25	PE1	Video
Tanacetipathes sp.	0	LW2	Video
Tanacetipathes sp.	0	BF2	Video
Tanacetipathes sp.	4	BF3	Video
Tanacetipathes sp.	11	SR2	Video
Tanacetipathes sp.	5	SR3	Video
Tanacetipathes sp.	0	BF5	Video
Tanacetipathes sp.	24	PE1	Video
Thesea nivea	1	LW2	Video
Thesea nivea	1020	BF2	Video
Thesea nivea	271	BF3	Video
Thesea nivea	254	SR2	Video
Thesea nivea	207	SR3	Video
Thesea nivea	300	BF5	Video
Thesea nivea	964	PE1	Video
Thesea sp.	4	LW2	Video
Thesea sp.	0	BF2	Video
Thesea sp.	2	BF3	Video
Thesea sp.	2	SR2	Video
Thesea sp.	5	SR3	Video
Thesea sp.	0	BF5	Video
Thesea sp.	0	PE1	Video